grid_point, analysis_value, analysis_increment
[21, 0],5321.076152201407,-59.24622559501313
[21, 1],5403.970617287777,-27.205499895319008
[21, 2],5453.222199510729,-38.49519310719188
[21, 3],5523.215484990052,-27.956813361895
[21, 4],5576.627881573895,-18.799370151697985
[21, 5],5610.45706194219,-15.174139344448122
[21, 6],5640.765090928045,-8.32882353680452
[21, 7],5666.325634880086,-3.393295253898941
[21, 8],5689.597420489278,1.4004657350487832
[21, 9],5710.036556538723,5.184989708461217
[21, 10],5732.073212145663,10.6846011939042
[21, 11],5751.804838941808,11.036921341645211
[21, 12],5776.866170671274,13.084037091763093
[21, 13],5793.618736400229,8.419417412244911
[21, 14],5812.444475235337,12.0047562673235
[21, 15],5831.853253532554,21.06451852443115
[21, 16],5846.270827977554,27.670956257185026
[21, 17],5856.799195334565,32.27302387009877
[21, 18],5860.386169778082,32.026333908779634
[21, 19],5859.524357760656,29.43248241672336
[21, 20],5857.6068733610455,27.674590196787904
[21, 21],5857.732882028431,29.38272266436161
[22, 0],5331.994583236583,-72.33920412482803
[22, 1],5410.778068510634,-46.77675463919422
[22, 2],5481.102822653927,-33.18948678950801
[22, 3],5540.4642702356305,-25.154933557610093
[22, 4],5592.716993603036,-11.306211493999399
[22, 5],5629.557979053051,-2.0758824758850096
[22, 6],5660.134031541176,5.495755302224097
[22, 7],5685.058296107559,8.46785770643146
[22, 8],5705.680811721003,8.512200193415993
[22, 9],5724.699517932067,9.242708613910509
[22, 10],5744.662691831835,11.816786309193958
[22, 11],5762.083581113346,9.680937828290553
[22, 12],5785.70460262207,10.373389846090504
[22, 13],5807.2052638775085,10.127414986441181
[22, 14],5824.0016368401675,11.146949128364213
[22, 15],5840.205689340725,16.713707992334093
[22, 16],5853.190216344897,21.88343731209534
[22, 17],5865.4936065072325,28.320361763080655
[22, 18],5872.733843030168,31.68473512661967
[22, 19],5872.067601555,29.120696445314934
[22, 20],5862.102348624911,19.03322737599592
[22, 21],5861.530946564663,20.11473704378568
[23, 0],5347.2705189737735,-76.78279212756661
[23, 1],5433.681016056252,-43.612288105632615
[23, 2],5501.082941219587,-27.549087870697804
[23, 3],5560.2041867909065,-12.420577673260595
[23, 4],5606.338788207921,-0.4401408604280732
[23, 5],5638.904659124983,5.812182883426431
[23, 6],5670.902184982963,14.50441966526796
[23, 7],5696.70509046225,16.553271652767762
[23, 8],5717.486637828673,14.065319415490194
[23, 9],5736.0143956576385,12.198385468518609
[23, 10],5755.754884011205,13.710232655562322
[23, 11],5772.834348510166,11.68784713117293
[23, 12],5792.371031371115,9.425282271228753
[23, 13],5812.257064963312,7.893947795084387
[23, 14],5829.36943297976,8.664519773642496
[23, 15],5842.740926387749,10.821578036212486
[23, 16],5856.260655149066,16.033900714605807
[23, 17],5867.435763287238,20.4959908046103
[23, 18],5876.487559971004,24.116590682303467
[23, 19],5871.41139072715,14.882481478112823
[23, 20],5869.373327023197,9.887768247815075
[23, 21],5864.83378857306,3.5747960548678748
[24, 0],5372.901939550336,-68.38368085219281
[24, 1],5458.792324094811,-32.704917150398614
[24, 2],5521.070083691969,-15.999355757397097
[24, 3],5571.274207434701,-4.133255367809397
[24, 4],5611.929781975378,5.408102616311226
[24, 5],5641.859594135122,9.877057084131593
[24, 6],5670.773595130647,15.091800603695447
[24, 7],5698.169062313716,16.964254334214274
[24, 8],5722.841336230786,15.512252598799932
[24, 9],5745.661071103437,15.609352739969836
